Software version: 0.10.9 ; Calibration file: 9182501_20251128_CAL.txt
Scan start time,Bin 1.25-1.5 nm,Bin 1.5-1.7 nm,Bin 1.7-2.5 nm,Bin 2.5-5.0 nm,Bin 5.0-8.0 nm,Bin 8.0-13.07 nm,Dp >13.07 nm total number concentration
2026-01-06T04:41:31,15601.65,900.02,0,242.07,0,13.15,
2026-01-06T04:43:31,8601.24,0,0,198.89,25.95,0,
2026-01-06T04:45:31,5841.43,3299.61,0,103.83,212.95,0,
2026-01-06T04:47:31,4977.35,0,196.08,0,401.61,0,
2026-01-06T04:49:31,13883.28,1049.45,0,169.99,133.30,0,
2026-01-06T04:51:31,6021.16,770.60,0,23.61,120.82,0,
2026-01-06T04:53:31,12701.37,3327.18,0,172.50,0,369.58,
2026-01-06T04:55:31,134.74,1284.32,0,0,0,288.40,
2026-01-06T04:57:31,12917.94,1152.45,0,113.49,155.80,0,
2026-01-06T04:59:31,4093.49,0,350.75,46.83,0,88.89,
2026-01-06T05:01:31,22438.73,0,506.51,0,0,306.41,
2026-01-06T05:03:31,7050.47,0,587.07,88.54,0,0,
2026-01-06T05:05:31,20478.45,240.62,8.62,200.35,0,452.61,
2026-01-06T05:07:31,19764.95,0,0,284.40,0,0,
2026-01-06T05:09:31,13338.26,2350.21,0,327.42,74.30,0,
2026-01-06T05:11:31,7810.34,0,55.75,13.97,166.88,0,
2026-01-06T05:13:31,26532.74,0,422.32,336.41,227.64,0,
2026-01-06T05:15:31,4073.09,0,1007.26,24.67,0,68.45,
2026-01-06T05:17:31,15482.19,956.91,0,93.61,377.66,0,
2026-01-06T05:19:31,9623.23,0,59.50,136.25,41.96,0,
2026-01-06T05:21:31,25794.73,0,96.29,380.39,0,243.34,
2026-01-06T05:23:31,4195.26,0,357.60,276.44,0,0,
2026-01-06T05:25:31,10913.11,2994.97,0,325.41,93.54,0,
2026-01-06T05:27:31,8253.22,235.17,0,213.65,0,226.89,
2026-01-06T05:29:31,12062.98,0,189.44,0,224.13,0,
